name,ingredients
blue lagoon,"blue curacao, lemon-lime soda, lime juice, vodka"
blue margarita,"blue curacao, lime juice, sugar syrup, tequila"
blue monday,"blue curacao, citroen vodka, martini extra dry vermouth, orange bitters, triple sec"
blue moon cocktail (1940's recipe),"creme de violette liqueur, dry gin, lemon juice, pasteurised egg white, sugar syrup"
blue passion,"blue curacao, light rum, lime juice, sugar syrup"
blue riband,"blue curacao, dry gin, triple sec"
blue star,"blue curacao, dry gin, lillet blanc, orange juice"
blue velvet margarita,"blue curacao, lime juice, tequila, triple sec"
blue wave,"blue curacao, dry gin, light rum, lime juice, pineapple juice, sugar syrup"
blueberry daiquiri,"blueberries, creme de myrtille liqueur, light rum, lime juice"
blueberry martini,"blueberries, creme de myrtille liqueur, lime juice, sugar syrup, vodka"
blueberry cocktail,"blueberries, sauvignon blanc wine, sugar syrup, vodka"
blueberry tea,"breakfast tea, disaronno amaretto, orange liqueur"
blush martini,"cranberry juice, disaronno amaretto, single cream / half-and-half, vanille de madagascar, vodka"
blushin' russian,"coffee liqueur, disaronno amaretto, single cream / half-and-half, vodka"
bobby burns cocktail (craddock's recipe),"benedictine d.o.m., sweet vermouth, whisky"
bohemian iced tea,"becherovka liqueur, earl grey tea, honey liqueur, peachtree peach schnapps, vodka"
boilermaker,"bourbon whiskey, budweiser budvar"
bolero,"avallen calvados, light rum, sweet vermouth"
bolero sour,"cognac, light rum, lime juice, orange juice, pasteurised egg white, sugar syrup"
bolshoi punch,"lime juice, noir de bourgogne cassis, sugar syrup, white overproof rum"
bombay no. 2,"absinthe, cognac, martini extra dry vermouth, orange curacao liqueur, sweet vermouth"
bomber,"ginger beer, light rum, lime juice, spiced rum"
bon bon,"butterscotch liqueur, lemon juice, pallini limoncello liqueur, vanilla sugar syrup, vodka"
boomerang,"angostura aromatic bitters, bourbon whiskey, lemon juice, luxardo maraschino liqueur, martini extra dry vermouth, sugar syrup, sweet vermouth"
bora bora brew (non-alcoholic),"ginger ale, grenadine syrup, pineapple juice"
borderline,"bourbon whiskey, lemon juice, maple syrup, punt e mes or other full-bodied vermouth"
bosom caresser,"cognac, egg yolk, grenadine syrup, orange liqueur, rainwater/verdelho med-dry madeira"
bossa nova #1,"apple juice, apricot brandy liqueur, galliano l'autentico liqueur, light rum, lime juice"
bossa nova #2,"apricot brandy liqueur, galliano l'autentico liqueur, lemon juice, light rum, pineapple juice"
boston,"apricot brandy liqueur, dry gin, grenadine syrup, lemon juice, sugar syrup"
boston flip,"bourbon whiskey, egg, rainwater/verdelho med-dry madeira, sugar syrup"
boston tea party,"cola, dry gin, lime juice, martini extra dry vermouth, navy rum, orange juice, sugar syrup, tequila, triple sec, vodka, whisky"
bourbon blush,"bourbon whiskey, creme de framboise, maple syrup, small ripe strawberries"
bourbon cookie,"bourbon whiskey, butterscotch liqueur, passion fruit syrup, single cream / half-and-half"
bourbon milk punch,"bob's vanilla bitters, bourbon whiskey, milk, vanilla sugar syrup"
bourbon smash,"angostura aromatic bitters, bourbon whiskey, cranberry juice, lime juice, mint leaves, raspberries, sugar syrup"
bourbonella,"bourbon whiskey, grenadine syrup, martini extra dry vermouth, peychaud's or other creole-style bitters, triple sec"
bradford martini,"dry gin, martini extra dry vermouth, orange bitters"
brainstorm,"benedictine d.o.m., chilled water, irish whiskey, martini extra dry vermouth"
bramble,"creme de mure liqueur, dry gin, lemon juice, sugar syrup"
bramblette,"creme de violette liqueur, dry gin, lemon juice, sugar syrup"
brandy alexander,"brown creme de cacao, cognac, dutch cacao white creme de cacao, single cream / half-and-half"
brandy blazer,"boiling water, cognac, sugar syrup"
brandy buck,"cognac, ginger ale, lemon juice, orange liqueur"
brandy crusta,"angostura aromatic bitters, cognac, lemon juice, luxardo maraschino liqueur, sugar syrup, triple sec"
brandy fix,"cognac, lemon juice, pineapple juice, sugar syrup, yellow chartreuse liqueur"
brandy fizz,"cognac, lemon juice, soda from siphon, sugar syrup"
brandy flip,"cognac, egg, sugar syrup"
brandy milk punch,"cognac, milk, vanilla sugar syrup"
brandy smash,"cognac, mint leaves, sugar syrup"
brandy sour,"angostura aromatic bitters, cognac, lemon juice, pasteurised egg white, sugar syrup"
brazen martini,"bison grass vodka, parfait amour liqueur"
brazilian berry,"blackcurrants, cachaca, noir de bourgogne cassis, raspberries, sauvignon blanc wine"
brazilian coffee,"cachaca, espresso coffee, single cream / half-and-half, sugar syrup"
brazilian monk,"brown creme de cacao, coffee liqueur, hazelnut liqueur, vanilla ice-cream"
breakfast at terrell's,"brut champagne, mandarine napoleon liqueur, orange juice, single cream / half-and-half, sugar syrup"
breakfast martini,"dry gin, lemon juice, orange marmalade, triple sec"
brighton punch,"benedictine d.o.m., bourbon whiskey, cognac, lemon juice, pineapple juice"
broadmoor cocktail,"green chartreuse liqueur, orange bitters, speyside single malt scotch whisky, sugar syrup"
bronx,"dry gin, martini extra dry vermouth, orange bitters, orange juice, sweet vermouth"
brooklyn (st george version),"angostura aromatic bitters, bourbon whiskey, luxardo maraschino liqueur, martini extra dry vermouth, sweet vermouth"
brooklyn godfather,"bourbon whiskey, disaronno amaretto, martini extra dry vermouth, sweet vermouth"
brubaker old-fashioned,"angostura aromatic bitters, malt extract, sugar syrup, whisky"
bubblegum shot,"disaronno amaretto, green melon liqueur, single cream / half-and-half"
the buck / gin buck,"dry gin, ginger ale, lemon juice"
buck's fizz,"brut champagne, orange juice"
buena vida,"angostura aromatic bitters, grapefruit juice, pineapple juice, tequila, vanilla sugar syrup"
bulldog,"coffee liqueur, cola, light rum, milk, single cream / half-and-half"
bullfrog #1,"creme de menthe, single cream / half-and-half, vodka"
bull's blood,"cognac, light rum, orange juice, orange liqueur"
bull's milk,"cognac, light rum, maple syrup, milk"
bumble bee,"coffee liqueur, irish cream liqueur, luxardo sambuca"
buona sera shot,"coffee liqueur, disaronno amaretto, light rum"
burning bush shot(s),"hot pepper sauce, tequila"
burnt toasted almond,"coffee liqueur, disaronno amaretto, irish cream liqueur, milk, single cream / half-and-half, vodka"
butterfly's kiss,"chilled water, cinnamon schnapps & goldwasser liqueurs, hazelnut liqueur, sugar syrup, vanilia vodka"
butterscotch daiquiri,"butterscotch liqueur, light rum, lime juice"
butterscotch delight,"butterscotch liqueur, irish cream liqueur"
butterscotch cocktail,"butterscotch liqueur, dutch cacao white creme de cacao, light rum, sugar syrup"
buzzard's breath,"cachaca, cream of coconut, pineapple juice, single cream / half-and-half"
byzantine,"basil leaves, dry gin, lime & lemongrass cordial, passion fruit syrup, pineapple juice, tonic water"
c c kazi,"cranberry juice, lime juice, sugar syrup, tequila"
cable car,"lemon juice, orange curacao liqueur, pasteurised egg white, spiced rum, sugar syrup"
cachaca daiquiri,"cachaca, chilled water, lime juice, sugar syrup"
cactus banger,"lime juice, orange juice, orange liqueur, tequila"
cactus jack,"blue curacao, lemon juice, orange juice, pineapple juice, tequila"
cafe gates,"brown creme de cacao, coffee liqueur, filter coffee, orange liqueur, single cream / half-and-half"
caipirinha,"cachaca, chilled water, lime, powdered sugar"
caipirissima,"light rum, lime, sugar syrup"
caipirovska,"lime, sugar syrup, vodka"
caipiruva,"cachaca, demerara / dark muscovado sugar syrup, green grapes, lime"
